MONTH,DAY_OF_MONTH,OP_CARRIER_FL_NUM,ORIGIN_CITY_NAME,DEST_CITY_NAME,DEP_DELAY,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1,26,1696,"Newark, NJ","Seattle, WA",-3,,,,,,
1,26,1695,"Seattle, WA","Newark, NJ",-17,,,,,,
1,26,1683,"Newark, NJ","Buffalo, NY",-9,,,,,,
1,26,1666,"Newark, NJ","Boston, MA",-5,,,,,,
1,26,1652,"Newark, NJ","Nashville, TN",-4,,,,,,
1,26,1651,"Las Vegas, NV","Newark, NJ",5,,,,,,
1,26,1649,"Newark, NJ","Fort Myers, FL",-4,,,,,,
1,26,1640,"Newark, NJ","Tampa, FL",-3,,,,,,
1,26,1640,"Los Angeles, CA","Newark, NJ",-6,,,,,,
1,26,1629,"Newark, NJ","Boston, MA",-2,,,,,,
1,26,1611,"Newark, NJ","Phoenix, AZ",-10,,,,,,
1,26,1611,"Chicago, IL","Newark, NJ",-9,,,,,,
1,26,1601,"Orlando, FL","Newark, NJ",0,,,,,,
1,26,1600,"Newark, NJ","Los Angeles, CA",-8,,,,,,
1,26,1596,"Newark, NJ","Las Vegas, NV",-4,,,,,,
1,26,1593,"Newark, NJ","San Diego, CA",-5,,,,,,
1,26,1591,"Burlington, VT","Newark, NJ",-2,,,,,,
1,26,1585,"Newark, NJ","Savannah, GA",0,,,,,,
1,26,1584,"Newark, NJ","San Francisco, CA",-2,,,,,,
1,26,1583,"Newark, NJ","Las Vegas, NV",-6,,,,,,
1,26,1582,"Tampa, FL","Newark, NJ",-5,,,,,,
1,26,1563,"Newark, NJ","New Orleans, LA",-6,,,,,,
1,26,1559,"Newark, NJ","West Palm Beach/Palm Beach, FL",0,,,,,,
1,26,1558,"Newark, NJ","Fort Lauderdale, FL",-6,,,,,,
1,26,1554,"Newark, NJ","Fort Myers, FL",-5,,,,,,
1,26,1552,"Newark, NJ","West Palm Beach/Palm Beach, FL",-7,,,,,,
1,26,1552,"Phoenix, AZ","Newark, NJ",-7,,,,,,
1,26,1551,"Boston, MA","Newark, NJ",4,,,,,,
1,26,1538,"Newark, NJ","West Palm Beach/Palm Beach, FL",-1,,,,,,
1,26,1537,"Newark, NJ","Miami, FL",-8,,,,,,
1,26,1537,"Las Vegas, NV","Newark, NJ",-10,,,,,,
1,26,1534,"Newark, NJ","Houston, TX",-4,,,,,,
1,26,1527,"Newark, NJ","Orlando, FL",-11,,,,,,
1,26,1523,"Newark, NJ","San Juan, PR",-1,,,,,,
1,26,1522,"Seattle, WA","Newark, NJ",-2,,0,0,16,0,0
1,26,1510,"Chicago, IL","Newark, NJ",-1,,,,,,
1,26,1496,"Newark, NJ","Miami, FL",0,,,,,,
1,26,1489,"Newark, NJ","West Palm Beach/Palm Beach, FL",-8,,,,,,
1,26,1483,"Newark, NJ","San Francisco, CA",259,,259,0,7,0,0
1,26,1469,"Los Angeles, CA","Newark, NJ",-5,,,,,,
1,26,1462,"Newark, NJ","Portland, OR",-5,,,,,,
1,26,1437,"Newark, NJ","Dallas/Fort Worth, TX",-6,,,,,,
1,26,1428,"Newark, NJ","West Palm Beach/Palm Beach, FL",-1,,,,,,
1,26,1425,"Boston, MA","Newark, NJ",-5,,,,,,
1,26,1417,"Newark, NJ","Orlando, FL",5,,,,,,
1,26,1417,"Fort Lauderdale, FL","Newark, NJ",-8,,,,,,
1,26,1407,"Seattle, WA","Newark, NJ",-8,,,,,,
1,26,1286,"Newark, NJ","Asheville, NC",-17,,,,,,
1,26,1275,"Newark, NJ","Boston, MA",-7,,,,,,
1,26,1262,"Newark, NJ","Denver, CO",-8,,,,,,
1,26,1261,"Newark, NJ","Los Angeles, CA",-7,,,,,,
1,26,1248,"Newark, NJ","Chicago, IL",-8,,,,,,
1,26,1246,"Fort Lauderdale, FL","Newark, NJ",-3,,,,,,
1,26,1245,"Newark, NJ","Atlanta, GA",-5,,,,,,
1,26,1244,"Newark, NJ","Los Angeles, CA",-3,,,,,,
1,26,1222,"Fort Lauderdale, FL","Newark, NJ",-8,,,,,,
1,26,1218,"Phoenix, AZ","Newark, NJ",-8,,,,,,
1,26,1207,"Raleigh/Durham, NC","Newark, NJ",-6,,,,,,
1,26,1202,"Boston, MA","Newark, NJ",-7,,,,,,
1,26,1191,"Tampa, FL","Newark, NJ",0,,,,,,
1,26,1177,"Newark, NJ","Chicago, IL",-9,,,,,,
1,26,1174,"West Palm Beach/Palm Beach, FL","Newark, NJ",-13,,,,,,
1,26,1173,"San Juan, PR","Newark, NJ",-9,,,,,,
1,26,1165,"Newark, NJ","Los Angeles, CA",0,,,,,,
1,26,1164,"Fort Lauderdale, FL","Newark, NJ",-10,,,,,,
1,26,1150,"San Diego, CA","Newark, NJ",-9,,,,,,
1,26,1149,"Newark, NJ","Orlando, FL",-6,,,,,,
1,26,1148,"Newark, NJ","Los Angeles, CA",-6,,,,,,
1,26,1141,"West Palm Beach/Palm Beach, FL","Newark, NJ",-9,,,,,,
1,26,1136,"Orlando, FL","Newark, NJ",-4,,,,,,
1,26,1130,"Santa Ana, CA","Newark, NJ",0,,,,,,
1,26,1125,"Houston, TX","Newark, NJ",32,,,,,,
1,26,1120,"San Diego, CA","Newark, NJ",-9,,,,,,
1,26,1107,"Portland, OR","Newark, NJ",-5,,,,,,
1,26,1105,"Newark, NJ","Miami, FL",-3,,,,,,
1,26,1101,"Raleigh/Durham, NC","Newark, NJ",-14,,0,0,54,0,0
1,26,1087,"Charlotte, NC","Newark, NJ",-14,,,,,,
1,26,1086,"Newark, NJ","Fort Lauderdale, FL",-2,,,,,,
1,26,1078,"Boston, MA","Newark, NJ",-4,,,,,,
1,26,1078,"Newark, NJ","Houston, TX",-2,,,,,,
1,26,1076,"Fort Myers, FL","Newark, NJ",-10,,,,,,
1,26,1075,"Newark, NJ","Santa Ana, CA",-11,,,,,,
1,26,1075,"Las Vegas, NV","Newark, NJ",1,,,,,,
1,26,1062,"Newark, NJ","Chicago, IL",0,,,,,,
1,26,1062,"Tampa, FL","Newark, NJ",-7,,,,,,
1,26,1057,"Newark, NJ","Fort Myers, FL",-7,,,,,,
1,26,1026,"Eagle, CO","Newark, NJ",-2,,,,,,
1,26,994,"Newark, NJ","Boston, MA",-3,,,,,,
1,26,994,"San Francisco, CA","Newark, NJ",124,,92,0,0,0,0
1,26,985,"Fort Lauderdale, FL","Newark, NJ",-8,,,,,,
1,26,977,"Newark, NJ","Chicago, IL",-9,,,,,,
1,26,912,"Newark, NJ","San Francisco, CA",-11,,,,,,
1,26,897,"Nashville, TN","Newark, NJ",-19,,,,,,
1,26,848,"Newark, NJ","Raleigh/Durham, NC",-1,,,,,,
1,26,817,"Austin, TX","Newark, NJ",-10,,,,,,
1,26,795,"Orlando, FL","Newark, NJ",14,,14,0,5,0,0
1,26,792,"Atlanta, GA","Newark, NJ",8,,,,,,
1,26,779,"San Francisco, CA","Newark, NJ",1,,,,,,
1,26,760,"Newark, NJ","Raleigh/Durham, NC",-11,,,,,,
1,26,755,"Newark, NJ","Chicago, IL",-3,,,,,,
1,26,751,"Newark, NJ","Los Angeles, CA",-11,,,,,,
1,26,751,"San Diego, CA","Newark, NJ",-10,,,,,,
1,26,749,"Denver, CO","Newark, NJ",0,,,,,,
1,26,748,"Newark, NJ","San Francisco, CA",-5,,,,,,
1,26,746,"San Francisco, CA","Newark, NJ",38,,28,0,0,0,10
1,26,730,"Newark, NJ","Orlando, FL",-8,,,,,,
1,26,726,"San Francisco, CA","Newark, NJ",-9,,,,,,
1,26,715,"Portland, ME","Newark, NJ",-8,,,,,,
1,26,711,"Newark, NJ","Fort Lauderdale, FL",-8,,,,,,
1,26,704,"Houston, TX","Newark, NJ",-3,,,,,,
1,26,700,"Boston, MA","Newark, NJ",-7,,,,,,
1,26,699,"Newark, NJ","Fort Lauderdale, FL",-3,,,,,,
1,26,690,"Raleigh/Durham, NC","Newark, NJ",-13,,,,,,
1,26,687,"Newark, NJ","Houston, TX",-3,,,,,,
1,26,679,"Newark, NJ","Boston, MA",-8,,,,,,
1,26,677,"Newark, NJ","San Diego, CA",-7,,,,,,
1,26,676,"San Antonio, TX","Newark, NJ",17,,,,,,
1,26,674,"Atlanta, GA","Newark, NJ",-7,,,,,,
1,26,665,"Newark, NJ","Las Vegas, NV",-3,,,,,,
1,26,665,"Houston, TX","Newark, NJ",-8,,,,,,
1,26,663,"Newark, NJ","Houston, TX",-1,,,,,,
1,26,661,"Houston, TX","Newark, NJ",-12,,,,,,
1,26,649,"Newark, NJ","Charlotte, NC",-4,,,,,,
1,26,646,"Newark, NJ","San Antonio, TX",-7,,,,,,
1,26,642,"Los Angeles, CA","Newark, NJ",-4,,,,,,
1,26,636,"Chicago, IL","Newark, NJ",-4,,,,,,
1,26,634,"Savannah, GA","Newark, NJ",-9,,,,,,
1,26,627,"Denver, CO","Newark, NJ",-5,,,,,,
1,26,613,"Chicago, IL","Newark, NJ",-9,,,,,,
1,26,602,"Newark, NJ","Salt Lake City, UT",-3,,,,,,
1,26,586,"Raleigh/Durham, NC","Newark, NJ",-11,,,,,,
1,26,581,"Newark, NJ","Phoenix, AZ",-10,,,,,,
1,26,576,"Denver, CO","Newark, NJ",-3,,,,,,
1,26,568,"Newark, NJ","Atlanta, GA",-10,,,,,,
1,26,566,"Newark, NJ","San Jose, CA",-4,,,,,,
1,26,557,"Houston, TX","Newark, NJ",-7,,,,,,
1,26,554,"Newark, NJ","Chicago, IL",-4,,,,,,
1,26,548,"Las Vegas, NV","Newark, NJ",-9,,,,,,
1,26,539,"Newark, NJ","Boston, MA",-5,,,,,,
1,26,539,"Houston, TX","Newark, NJ",0,,,,,,
1,26,537,"Newark, NJ","Seattle, WA",-4,,,,,,
1,26,535,"San Francisco, CA","Newark, NJ",69,,0,0,57,0,0
1,26,528,"Newark, NJ","Eagle, CO",-5,,,,,,
1,26,524,"West Palm Beach/Palm Beach, FL","Newark, NJ",-4,,,,,,
1,26,515,"Newark, NJ","Los Angeles, CA",-5,,,,,,
1,26,513,"Denver, CO","Newark, NJ",20,,,,,,
1,26,510,"Los Angeles, CA","Newark, NJ",-9,,,,,,
1,26,506,"Chicago, IL","Newark, NJ",1,,,,,,
1,26,503,"Newark, NJ","Las Vegas, NV",-7,,,,,,
